[[ 1.          0.        ]
 [ 1.12820995  0.        ]
 [ 1.25641     0.        ]
 [ 1.38461995  0.        ]
 [ 1.51282001  0.        ]
 [ 1.64102995  0.        ]
 [ 1.76923001  0.        ]
 [ 1.89743996  0.        ]
 [ 2.02559996  0.        ]
 [ 2.15380001  0.        ]
 [ 2.28209996  0.        ]
 [ 2.41030002  0.        ]
 [ 2.53850007  0.        ]
 [ 2.66669989  0.        ]
 [ 2.79489994  0.        ]
 [ 2.92309999  0.        ]
 [ 3.05130005  0.        ]
 [ 3.1795001   0.        ]
 [ 3.30769992  0.        ]
 [ 3.43589997  0.        ]
 [ 3.56410003  0.        ]
 [ 3.69230008  0.        ]
 [ 3.8204999   0.        ]
 [ 3.94869995  0.        ]
 [ 4.07690001  0.        ]
 [ 4.20510006  0.        ]
 [ 4.33330011  0.        ]
 [ 4.46150017  0.        ]
 [ 4.58970022  0.        ]
 [ 4.7178998   0.        ]
 [ 4.84619999  0.        ]
 [ 4.97440004  0.        ]
 [ 5.1026001   0.        ]
 [ 5.23080015  0.        ]
 [ 5.35900021  0.        ]
 [ 5.48719978  0.        ]
 [ 5.61539984  0.        ]
 [ 5.74359989  0.        ]
 [ 5.87179995  0.        ]
 [ 6.          0.        ]
 [ 5.99573421  0.09226857]
 [ 5.9829731   0.18374994]
 [ 5.96182537  0.27366361]
 [ 5.93247175  0.36124247]
 [ 5.89516258  0.44573933]
 [ 5.85021639  0.52643329]
 [ 5.79801655  0.60263586]
 [ 5.73900795  0.67369694]
 [ 5.67369413  0.73901021]
 [ 5.602633    0.79801852]
 [ 5.52643013  0.85021842]
 [ 5.44573593  0.89516443]
 [ 5.36123896  0.93247324]
 [ 5.27366018  0.96182644]
 [ 5.18374634  0.98297369]
 [ 5.09226513  0.99573451]
 [ 4.99999619  1.        ]
 [ 4.99999619  1.        ]
 [ 4.16469955  0.83532327]
 [ 4.0364995   0.96352327]
 [ 3.90829968  1.09173322]
 [ 3.78009963  1.21993327]
 [ 3.65189981  1.34814322]
 [ 3.52369976  1.47634327]
 [ 3.39549971  1.60455322]
 [ 3.26729965  1.73271322]
 [ 3.1390996   1.86091328]
 [ 3.01079965  1.98921323]
 [ 2.88259983  2.11741328]
 [ 2.75439978  2.24561334]
 [ 2.62619972  2.37381339]
 [ 2.49799967  2.50201321]
 [ 2.36979961  2.63021326]
 [ 2.2415998   2.75841331]
 [ 2.11339974  2.88661337]
 [ 1.98519969  3.01481318]
 [ 1.85699975  3.14301324]
 [ 1.7287997   3.27121329]
 [ 1.60059977  3.39941335]
 [ 1.47239971  3.52761316]
 [ 1.34419966  3.65581322]
 [ 1.21599972  3.78401327]
 [ 1.08779967  3.91221333]
 [ 0.95959973  4.04041338]
 [ 0.83139974  4.16861343]
 [ 0.70319968  4.29681349]
 [ 0.57499969  4.42501307]
 [ 0.44669971  4.55331326]
 [ 0.31849971  4.68151331]
 [ 0.19033971  4.80971336]
 [ 0.06212971  4.93791342]
 [-0.06607029  5.06611347]
 [-0.19428028  5.19431305]
 [-0.32248029  5.3225131 ]
 [-0.4506903   5.45071316]
 [-0.57889026  5.57891321]
 [-0.70710027  5.70711327]]
